eng,spa,source,otp
encourage; improve; defend; argue for; positively impact; SBJ {encourager; improver} raises OBJ {encouraged}'s opinion of IND,,INCOHATIVE OF want,feki
discourage; worsen; insult; argue against; negatively impact; SBJ {discourager; worsener} lowers OBJ {discouraged}'s opinion of IND,,CESSATIVE OF want,soki
beI dangerous; IND {danger} is dangerous to OBJ,,POSSIBILITY OF dislike,sopowi
beI safe; be secure; IND is safe for OBJ {AMOUNT:safety},,NEGATIVE OF be dangerous,sopowinyo
*should; be fit; be good; be proper; be correct; OBJ should happen to make IND {value function; goal} happen,,yor <ìbá> [ìbá],ipa
should not; be bad; be unwise; be incorrect; OBJ {problem} should not happen to make IND happen,,ANTONYM OF should,uma
*must; have to; be responsible; be obligated; OBJ is obligated to make IND {obligation; duty; responsibility; rule} happen,,epo <devi> [ˈdevi],tewi
assign; obligate; require; SBJ {assigner} makes OBJ responsible for IND happening,,INCOHATIVE OF must,tewiki
not have to; may not; OBJ does not have to make IND happen,,NEGATIVE OF must,tewinyo
alleviate responsibility; unassign; deobligate; SBJ makes OBJ no longer responsible for IND happening,,CESSATIVE OF must,tewinu
be more; exceed; be positive; be greater; be enough; be too much; OBJ is numerically greater than IND {zero; reference} {AMOUNT:numerical value; positiveness {GENITIVE:numerical; cardinal}},,eng <more> [mɔɹ],mo
be less; be negative; be not enough; be too little; OBJ is numerically less than IND,,ANTONYM OF be more,pe
increase; multiply; spread; SBJ {increaser} makes OBJ increase relative to IND,,INCOHATIVE OF be more,moki
decrease; diminish; dwindle; consolidate; SBJ {decreaser} makes OBJ decrease relative to IND,,CESSATIVE OF be more,peki
be number; be in *order; be -th; index; OBJ {item; element} has a late position in IND {list; order; sequence; queue; line} {AMOUNT:position; index; number {GENITIVE:ordinal}},ordenar; estar en orden; OBJ tiene una posición tarde en IND {lista; orden; secuencia; cola; fila} {AMOUNT:posición; índice; numero},epo <ordo> [ˈordo],olto
be number from the end; be in order from the end; negatively index; OBJ has an early position in IND {AMOUNT:position from end; negative index; number from end},,ANTONYM OF be number,etle
move down; position; sort; arrange; order; SBJ {sorter} moves OBJ down the sequence IND {sorted} {METHOD:order},,INCOHATIVE OF be number,oltoki
move up; position; SBJ moves OBJ up the sequence IND,,CESSATIVE OF be number,etleki
say; convey; communicate; SBJ {sayer} conveys IND {message; idea; signal; utterance} to OBJ {addressee} {INSTRUMENT:phone; cell phone; communicator; communication device|METHOD:language; protocol {GENITIVE:linguistic; lingual}},,xho <thi> [tʰi],ti
consult; look up; reference; refer; read; SBJ retrieves IND {desired information} from OBJ {reference; table; consultation},,REVERSAL OF say,lu
perceive; sense; observe; beI perceptible; see; hear; feel; smell; taste; OBJ {perceiver; observer} perceives IND {perception; experience {GENITIVE:subjective}} {INSTRUMENT:sense; sensor|GENITIVE:perceptual},,swa <jua> [ʄua],cua
show; look; listen; sniff; taste; read; SBJ {shower; looker; listener} shows IND {thing that is shown} to OBJ,,INCOHATIVE OF perceive,cuaki
obscure; hide; remove; cloud; SBJ {cloud} makes OBJ stop perceiving IND {cloudy},,CESSATIVE OF perceive,cuanu
can see; see; view; OBJ {seer} sees IND {image; picture; sight; view} {GENITIVE:visual; optic},,ibo <hụ> [ɦʊ],hu
look; reveal; SBJ shows IND {show; visualisation} to OBJ visually,,INCOHATIVE OF can see,huki
hide; obscure; remove from view; SBJ makes OBJ stop seeing IND,,CESSATIVE OF can see,hunu
watch; stare; SBJ forces OBJ to watch IND,,PROGRESSIVE OF can see,hucalu
be sighted; OBJ is sighted,,POSSIBILITY OF can see,hupowi
be blind; OBJ is blind,,NEGATIVE OF be sighted,hupowinyo
sighten; restore sight; SBJ causes OBJ to become sighted,,INCOHATIVE OF be sighted,hupowiki
blind; SBJ {blinding} causes OBJ to become blind,,CESSATIVE OF be sighted,hupowinu
can hear; hear; OBJ hears IND {sound; audio} {GENITIVE:auditory; acoustic},,spa <oye> [ˈoʝe],oye
listen; SBJ shows IND to OBJ audially,,INCOHATIVE OF can hear,oyeki
mute; SBJ makes OBJ stop hearing IND,,CESSATIVE OF can hear,oyenu
have hearing; OBJ has hearing {INSTRUMENT:hearing aid},,POSSIBILITY OF can hear,oyepowi
be deaf; OBJ is deaf,,NEGATIVE OF have hearing,oyepowinyo
hearify; restore hearing; SBJ makes OBJ able to hear,,INCOHATIVE OF have hearing,oyepowiki
deafen; SBJ {deafening} causes OBJ to become deaf,,CESSATIVE OF have hearing,oyepowinu
can smell; smell; OBJ smells IND {scent; odor; aroma; smell} {GENITIVE:olfactory},,spa <huele> [ˈwele],ole
waft; sniff; smell; show aromatically; SBJ makes OBJ start smelling IND,,INCOHATIVE OF can smell,oleki
smother; suppress odor; SBJ makes OBJ stop smelling IND,,CESSATIVE OF can smell,olenu
can taste; taste; OBJ tastes IND {taste; flavour} {GENITIVE:gustatory},,ibo <uto> [uto],uto
sample; show taste; SBJ makes OBJ start tasting IND,,INCOHATIVE OF can taste,utoki
obscure taste; SBJ makes OBJ stop tasting IND,,CESSATIVE OF can taste,utonu
can feel; feel; *touch; OBJ can physically feel IND {GENITIVE:tactile; tactual},,sot <ama> [ɑmɑ],ama
show tactually; SBJ shows IND to OBJ tactually,,INCOHATIVE OF can feel,amaki
hide tactually; SBJ makes OBJ stop feeling IND,,CESSATIVE OF can feel,amanu
be tangible; be physical; be objective; IND {object; thing} is tangible to OBJ,,POSSIBILITY OF can feel,amapowi
be digital; be intangible; be abstract; be nonphysical; IND {concept} is abstract from OBJ's point of view,,NEGATIVE OF be tangible,amapowinyo
print; tangiblise; soidify; SBJ {printer} brings OBJ into the physical realm,,INCOHATIVE OF be tangible,amapowiki
scan; abstract; intangiblise; SBJ {scanner abstracter} takes OBJ out of the physical realm,,CESSATIVE OF be tangible,amapowinu
read; load; interpret; SBJ {reader} reads OBJ {file; text; reading; passage; data; note} from the physical state of IND {source; text},,cmn <读> [tu˧˥],tu
write; record; type; mark; save; transcribe; SBJ {writer} encodes OBJ {writing; data} physically on IND {record; book; paper} {INSTRUMENT:writing utensil|LOCATION:desk; writing surface|GENITIVE:literary; scriptural|METHOD:script; writing system; encoding},,ibo <de> [de],te
erase; overwrite; obscure; SBJ {one who erases; eraser} removes traces of OBJ {erased} from IND {blank slate} {INSTRUMENT:eraser},,REVERSAL OF write,lo
speak; voice; say out loud; SBJ {speaker} says IND {quote; words; phrase; utterance; speech} to OBJ out loud {INSTRUMENT:voice|GENITIVE:vocal; locutory|METHOD:accent; manner of speech|GENITIVE:phonetic},,sot <bua> [buɑ],pua
own; have; possess; belong; OBJ {owner} owns IND {property},,jav <duwé> [tṳwe],tue
give; receive; obtain; get; transfer ownership; SBJ {giver} gives IND {gift; given} to OBJ {receiver; obtainer},,INCOHATIVE OF own,tueki
take; lose; give away; renounce ownership; SBJ {taker} takes IND {theft; prize; taken} from OBJ {loser},,CESSATIVE OF own,tuenu
keep; retain ownership; SBJ lets OBJ {keeper; hoarder} keep IND {kept},,PROGRESSIVE OF own,tuecalu
beI obtainable; beI common; IND is obtainable to OBJ,,POSSIBILITY OF own,tuepowi
beI rare; beI unobtainable; IND is difficult for OBJ to obtain,,NEGATIVE OF be obtainable,tuepowinyo
accompany; come with; be together; be beside; _accompanitive_; OBJ {companion; accompaniment; mate; partner; company; comrade} accompanies SBJ {accompanied},,epo <kune> [ˈkune],kune
be without; be apart; be away; OBJ does not accompany SBJ,,OPPOSITE OF accompany,niko
be between; be among; OBJ exists in the space encompassed by the elements of IND {bounds},,swa <kati> [kati],kati
put between; place among; SBJ puts OBJ among IND,,INCOHATIVE OF be between,katiki
remove from between; pull from; take out of; SBJ removes OBJ from among IND,,CESSATIVE OF be between,katinu
be stacked; be layered; OBJ {layer} is stacked on IND {book; stack},,jav <sap> [ʂɑp],capa
stack; layer; SBJ {stacker} stacks OBJ onto IND,,INCOHATIVE OF be stacked,capaki
unstack; unlayer; SBJ {unstacker} unstacks OBJ from IND,,CESSATIVE OF be stacked,capanu
"be sure; be *certain; beI probable; beI likely; beI easy; OBJ is likely to happen according to IND; see ""believe"" and ""think"" {AMOUNT:probability}",,epo <certi> [ˈt͡serti],selti
be skeptical; beI improbable; beI unlikely; IND is unlikely to happen according to OBJ {skeptic},,ANTONYM OF be sure,fotlu
convince; persuade; make sure; SBJ provides new information that leads OBJ to come to find IND probable,,INCOHATIVE OF be sure,seltiki
unconvince; become skeptical; SBJ provides new information that leads IND comes to beI OBJ improbable,,CESSATIVE OF be sure,fotluki
"believe; seem; OBJ {believer} accepts that IND {belief; feeling} is true on a subconscious level; see ""be sure"" and ""think""",,zul <kholwa> [ˈkʰɔːlwa],kolwa
convince; sway; SBJ leads OBJ to believe that IND is true,,INCOHATIVE OF believe,kolwaki
"think; appear; beI apparent; OBJ {thinker; accepter} consciously decides that IND {opinion} is true; see ""be sure"" and ""believe""",,epo <pensi> [ˈpensi],pensi
persuade; convince; SBJ leads OBJ to determine that IND is true,,INCOHATIVE OF think,pensiki
recall; remind; remember; remember to; jog memory; SBJ {mnemonic} helps OBJ {recaller} recall IND {factoid; datum} from memory,,hin <याद> [jaːd],yata
can remember; remember; know; OBJ {knowledgeable; smart} has IND stored in memory,,POSSIBILITY OF recall,yatapowi
memorize; drill; remind; SBJ {driller; crammer; memorizer} makes OBJ memorize IND,,INCOHATIVE OF can remember,yatapowiki
forget; erase memory; SBJ {mind-eraser} makes OBJ forget IND,,CESSATIVE OF can remember,yatapowinu
understand; comprehend; beI sensical; know; be smart; OBJ {understander} understands IND {understood} well {AMOUNT:level of understanding},,swa <-elewa> [elewa],elewa
misunderstand; be confused; beI cryptic; OBJ does not understand IND {misunderstood} well,,ANTONYM OF understand,otoya
explain; describe; SBJ {tutor; teacher} teaches OBJ {tutee; student} to understand IND,,INCOHATIVE OF understand,elewaki
confuse; unlearn; SBJ {confuser} makes OBJ stop understanding IND,,CESSATIVE OF understand,otoyaki
"know; be informed; be educated; OBJ {knower; smart} remembers IND {knowledge}, believes and thinks it to be true, and correctly understands why it is true",,eng <know> [noʊ̯],no
beI unknown; OBJ does not know IND,,NEGATIVE OF know,nonyo
teach; learn; study; beI out; SBJ {teacher; professor; master} teaches IND to OBJ {student; learner} {LOCATION:school; college; university|TIME:lesson; education},,INCOHATIVE OF know,noki
unteach; unlearn; confound; SBJ {unteacher} makes IND {unlearner} unlearn what they thought they knew about OBJ,,CESSATIVE OF know,nonu
beI apparent; beI obvious; beI knowable; beI deducable; beI notorious; beI famous; be smart; IND is apparent to OBJ {fast learner},,POSSIBILITY OF know,nopowi
beI unapparent; beI secret; beI unknowable; beI concealed; beI obscure; beI anonymous; beI be stupid; IND is not easily apparent to OBJ {[https://forum.tfes.org/index.php?topic=6098.msg132382#msg132382]},,NEGATIVE OF be apparent,nopowinyo
be *familiar with; know; be accustomed; be used to; IND {familiar to; acquaintance} is familiar to OBJ,,msa <biasa> [biasa],piasa
be unfamiliar with; be unaccustomed; be strange; be foreign; IND {unfamiliar to; stranger} is unfamiliar to OBJ,,ANTONYM OF be familiar with,muafa
familiarise; get to know; get accustomed; practise; introduce; SBJ {familiariser} makes OBJ become familiar with IND,,INCOHATIVE OF be familiar with,piasaki
unfamiliarise; get unaccustomed; forget; lose; SBJ {unfamiliariser} makes OBJ become unfamiliar with IND,,CESSATIVE OF be familiar with,muafaki
be friendly; be nice; be kind; OBJ considers IND {friend} a friend {AMOUNT:friendliness; amity},,cmn <友好> [joʊ̯˧˩˧xɑʊ̯˧˩˧],yohau
be hostile; be mean; be harsh; OBJ is hostile toward IND {enemy; infamous},,ANTONYM OF be friendly,wecai
befriend; introduce; soften; SBJ {friend-arranger} makes OBJ become friends with IND,,INCOHATIVE OF be friendly,yohauki
drive apart; aggravate; SBJ {enemy-maker} makes OBJ become hostile toward IND,,CESSATIVE OF be friendly,wecaiki
love; be infatuated; OBJ {lover} is romantically in love with IND {love; object of affection},,epo <ami> [ˈami],ami
set up; fall in love; introduce; infatuate; SBJ {matchmaker; cupid} makes OBJ fall in love with IND,,INCOHATIVE OF love,amiki
be related; share blood; OBJ {relatee} is genetically related to IND {relative; *kin; family; blood; ethnic; ethnicity},,cmn <亲戚> [t͡ɕʰin˥t͡ɕʰi],cinci
be okay; be fine; be all right; be acceptable; OBJ is okay,,eng <okay> [ˌoʊ̯ˈkʰeɪ̯],oke
make okay; make acceptable; SBJ makes OBJ okay,,INCOHATIVE OF be okay,okeki
make not okay; cross the line; make unacceptable; SBJ makes OBJ not okay,,CESSATIVE OF be okay,okenu
be old; OBJ {elder; senior; adult; grown-up; relic} is old {AMOUNT:age},,cmn <旧> [t͡ɕjoʊ̯˥˩],cyo
be young; be new; OBJ {kid; girl; boy} is young,,ANTONYM OF be old,hwe
age; wear; SBJ {ager; Father Time} makes OBJ get older,,INCOHATIVE OF be old,cyoki
renew; update; SBJ {updater} makes OBJ become new,,CESSATIVE OF be old,hweki
be late; be after; be tardy; positive time; OBJ {future} happens after IND {AMOUNT:time; time interval; duration},,fil <huli> [huli],huli
be early; be before; be timely; negative time; OBJ {past} happens before IND,,ANTONYM OF be late,citu
laten; delay; postpone; put off; procrastinate; travel forward through time; SBJ {postponer} pushes OBJ forward through time,,INCOHATIVE OF be late,huliki
pass; advance; travel back in time; SBJ {time machine} causes OBJ {passing; present} to become before IND,,CESSATIVE OF be late,cituki
be big; be large; be spacious; OBJ has a high volume {AMOUNT:size; volume},,mar <मोठा> [moʈʰaː],mota
be small; be little; OBJ has a low volume,,ANTONYM OF be big,pela
grow; expand; dilate; SBJ {grower} grows OBJ {balloon},,INCOHATIVE OF be big,motaki
shrink; contract; constrict; SBJ {shrinker} shrinks OBJ,,CESSATIVE OF be big,pelaki
be long; be tall; OBJ {protrusion; length} is long in time or space {AMOUNT:length; maximum physical dimension; length of time},,msa <lama> [lama],lama
be short; OBJ {nub; knob; bump} is short in time or space,,ANTONYM OF be long,tapa
lengthen; grow; SBJ {lengthener} lengthens OBJ,,INCOHATIVE OF be long,lamaki
shorten; shrink; SBJ {shortener} shortens OBJ,,CESSATIVE OF be long,tapaki
be broad; be wide; OBJ {ribbon; blade} is broad in the dimension that is not length or thickness {AMOUNT:breadth; middle dimension},,spa <ancho> [ˈant͡ʃo],anco
be narrow; be thin; OBJ is narrow in the dimension that is not length or thickness,,ANTONYM OF be broad,akhe
broaden; SBJ {broadener} broadens OBJ,,INCOHATIVE OF be broad,ancoki
narrow; SBJ {narrower} narrows OBJ,,CESSATIVE OF be broad,akheki
be thick; OBJ {slab} is thick in its smallest dimension {AMOUNT:thickness; minimum dimension},,cmn <厚> [xoʊ̯˥˩],ho
be thin; OBJ {film} is thin in its smallest dimension,,ANTONYM OF be thick,ce
thicken; SBJ {thickener} thickens OBJ,,INCOHATIVE OF be thick,hoki
thin; SBJ {thinner} thins OBJ,,CESSATIVE OF be thick,ceki
be far; be distant; be beyond; be not at all; be remote; tele; OBJ is physically or numerically far from IND {space} {AMOUNT:distance},,sho <kure> [kure],kule
be near; be close; be before; be approximately; be almost; be like; OBJ is physically or numerically close to IND {TIME:meeting},,ANTONYM OF be far,nito
distance; go away; separate; come from; SBJ {separator} distances OBJ from IND,,INCOHATIVE OF be far,kuleki
approach; go toward; meet; draw close; bring together; gather; go to; SBJ {gatherer; joiner} moves OBJ toward IND,,CESSATIVE OF be far,nitoki
keep apart; separate; divide; avoid; SBJ {wall; barrier} keeps OBJ {other side} away from IND,,PROGRESSIVE OF be far,kulecalu
be in front; be *ahead; be forward; OBJ {field of view} has a positive _y_ coordinate from IND's point of view {AMOUNT:_y_ coordinate; progress},,hin <आगे> [aːɡe],ake
be behind; be backward; lag; OBJ {back} has a negative _y_ coordinate from IND's point of view,,ANTONYM OF be in front,ano
advance; go ahead; go forward; progress; gain; SBJ {advancer} makes OBJ move forward from IND's point of view,,INCOHATIVE OF be in front,akeki
retreat; fall behind; go backward; lose; SBJ {retreater} makes OBJ move backward from IND's point of view,,CESSATIVE OF be in front,anoki
follow; trail; SBJ makes OBJ {follower; tail} follow IND {followed},,PROGRESSIVE OF be behind,anocalu
be to the right; OBJ {right side} has a positive _x_ coordinate from IND's point of view {AMOUNT:_x_ coordinate},estar *derecha; OBJ {el lado derecho} tiene una coordenada _x_ positiva del punto de vista de IND {AMOUNT:coordenada _x_},nya <-manja> [mand͡ʒa],manca
be to the left; OBJ {left side} has a negative _x_ coordinate from IND's point of view,,ANTONYM OF be to the right,pakha
go right; SBJ makes OBJ move right from IND's point of view,,INCOHATIVE OF be to the right,mancaki
go left; SBJ makes OBJ move left from IND's point of view,,CESSATIVE OF be to the right,pakhaki
be wide; be obtuse; be big; be large; OBJ {splotch; blotch} spans a wide angle from the point of view of IND {AMOUNT:angle;angular size},,hin <चौड़ा> [t͡ʃɔːɽaː],cola
be narrow; be acute; be small; be little; OBJ {dot; point} spans a narrow angle from the point of view of IND {edge; blade; corner},,ANTONYM OF be wide,heta
widen; grow; spread out; dilate; SBJ makes OBJ span a wider angle from the point of view of IND,,INCOHATIVE OF be wide,colaki
narrow; shrink; contract; SBJ makes OBJ span a smaller angle from the point of view of IND,,CESSATIVE OF be wide,hetaki
be below; be down; be low; SBJ {header; top} appears below OBJ from the point of view of IND {AMOUNT:altitude angle; distance down page},,ben <নিচে> [n̪it͡ɕe],nice
be above; be up; be high; SBJ {footer; bottom} appears below OBJ from the point of view of IND,,ANTONYM OF be below,kuho
go down; lower; sink; SBJ {one who moves down} makes OBJ appear to move down from the point of view of IND,,INCOHATIVE OF be below,niceki
go up; raise; rise; SBJ {one who moves up} makes OBJ appear to move up from the point of view of IND {INSTRUMENT:stool},,CESSATIVE OF be below,kuhoki
be turned *counterclockwise; be widdershins; OBJ appears rotated counterclockwise from the orientation IND {original orientation; right-side up} from the point of view of IND {AMOUNT:orientation; rotation},,ben <বামাবর্তে> [bamabɔrt̪e],pamapolte
be turned clockwise; OBJ appears rotated clockwise from the orientation OBJ from the point of view of IND,,ANTONYM OF be turned counterclockwise,mapametlo
rotate counterclockwise; SBJ {counterclockwise turner} turns OBJ counterclockwise from IND's point of view,,INCOHATIVE OF be turned counterclockwise,pamapolteki
rotate clockwise; SBJ {clockwise turner} turns OBJ clockwise from IND's point of view,,CESSATIVE OF be turned counterclockwise,mapametloki
be low; be under; be deep; OBJ {bottom; depths; ground; earth; hell; underlayer} has a lower altitude than IND {standard altitude; usually sea level} {AMOUNT:lowness; deelevation; altitude; layer},,ben <নীচু> [n̪it͡ɕu],nicu
be high; be over; OBJ {top; heights; heaven; sky; cosmos} has a higher altitude than IND,,ANTONYM OF be low,kuhi
lower; descend; depress; SBJ {one who lowers} decreases OBJ's altitude relative to IND,,INCOHATIVE OF be low,nicuki
lift; heighten; ascend; elevate; SBJ {one who heightens} increases OBJ's altitude relative to IND,,CESSATIVE OF be low,kuhiki
be south; OBJ has a lower latitude than IND {standard parallel; usually the North Pole} {AMOUNT:latitude},,epo <suda> [ˈsuda],suta
be north; OBJ has a higher latitude than IND,,ANTONYM OF be south,fila
go south; SBJ decreases the latitude of OBJ relative to IND,,INCOHATIVE OF be south,sutaki
go north; SBJ increases the latitude of OBJ relative to IND,,CESSATIVE OF be south,filaki
be east; OBJ has a higher longitude than IND {standard meridian; prime meridian} {AMOUNT:longitude},,spa <este> [ˈeste],este
be west; OBJ has a lower longitude than IND,,ANTONYM OF be east,oflo
go east; SBJ increases the longitude of OBJ relative to IND,,INCOHATIVE OF be east,esteki
go west; SBJ decreases the longitude of OBJ relative to IND,,CESSATIVE OF be east,ofloki
be dense; beI cramped; be frequent; be common; be tightly packed; be fine; be urban; OBJ occurs frequently and close together in IND {METHOD:distribution},,cmn <稠密> [ʈ͡ʂʰoʊ̯˧˥mi˥˩],comi
be sparse; beI spacious; be infrequent; be uncommon; be loosely distributed; be coarse; OBJ is few and far between in IND {space; room; open space},,ANTONYM OF be dense,hepu
gather; collect; cluster; densify; SBJ increases the spacial frequency of OBJ,,INCOHATIVE OF be dense,comiki
spread out; separate; distribute; SBJ decreases the spacial frequency of OBJ,,CESSATIVE OF be dense,hepuki
face; point; confront; OBJ {direction} is oriented in the direction toward IND {target; front},,ibo <iru> [iɾu],ilu
turn; face; rotate; point; SBJ {pointer} makes OBJ {turner} turn toward IND,,INCOHATIVE OF face,iluki
turn away; avert; SBJ makes OBJ turn away from IND,,CESSATIVE OF face,ilunu
"be moral; be right; be virtuous; be good; if OBJ {good deed; moral} happens, it will be morally good {AMOUNT:morality; goodness}",,sho <unhu> [unhu],unhu
"be evil; be immoral; be wrong; be bad; if OBJ {evil; sin} happens, it will be morally bad",,ANTONYM OF be moral,ikci
rectify; turn good; SBJ makes OBJ become moral,,INCOHATIVE OF be moral,unhuki
wrong; turn evil; SBJ makes OBJ become evil,,CESSATIVE OF be moral,ikciki
be skillful; be apt; be effective; be good; OBJ is good at causing IND {AMOUNT:skill level},,nya <-luso> [ɽuso],luso
be inept; be unskillful; be ineffective; be bad; OBJ is bad at causing IND,,ANTONYM OF be skillful,tife
train; teach; SBJ {trainer} makes OBJ {trainee} become skillful at IND,,INCOHATIVE OF be skillful,lusoki
untrain; forget; become rusty; SBJ {untrainer} makes OBJ {rusty} become unskillful at IND,,CESSATIVE OF be skillful,tifeki
work; work hard; be productive; be driven; OBJ {worker} is working hard on IND {job; work} {AMOUNT:productivity; efficiency; work|LOCATION:workplace; workstation; office},,yor <iṣẹ́> [īʃɛ́],ice
be unproductive; be lazy; OBJ is working little on IND {neglected},,ANTONYM OF work,uho
put to work; make productive; employ; SBJ makes OBJ start working on IND,,INCOHATIVE OF work,iceki
retire; give up; make unproductive; fire; SBJ makes OBJ become unproductive at IND,,CESSATIVE OF work,uhoki
notice; be aware; OBJ {noticer} is conciously aware of the presence of IND {noticed} {AMOUNT:awareness},,spa <nota> [ˈnota],nota
be oblivious; be unaware; OBJ fails to notice the presence of IND {inconspicuous; stealthy},,ANTONYM OF notice,kela
point out; notify; call attention; wave; SBJ calls OBJ's attention to IND,,INCOHATIVE OF notice,notaki
hide; obscure; SBJ {hider; obscurer} hides IND from OBJ,,CESSATIVE OF notice,kelaki
pay attention; focus; watch; occupy; OBJ pays attention to IND {attention; focus} {AMOUNT:attention; focus},,jav <gapé> [kɑ̤pe],kape
ignore; disregard; OBJ pays little attention to IND,,ANTONYM OF pay attention,namo
give attention; draw attention; SBJ makes OBJ pay attention to IND,,INCOHATIVE OF pay attention,kapeki
distract; SBJ makes OBJ stop paying attention to IND,,CESSATIVE OF pay attention,namoki
mean; call; name; be significant; OBJ {name; signal; word; sememe} means IND {definition; meaning; denotation; named} to SBJ {METHOD:convention; protocol},,zul <-sho> [ʃo],co
live; be alive; be lively; survive; reside; OBJ {life; organism; living thing} is alive {TIME:life|LOCATION:residence},,swa <-ishi> [iʃi],ici
be dead; OBJ {corpse; dead thing} is dead {TIME:death},,ANTONYM OF live,uhu
bring to life; come to life; SBJ brings OBJ to life,,INCOHATIVE OF live,iciki
kill; murder; die; pass away; SBJ {killer; murderer} kills OBJ,,CESSATIVE OF live,uhuki
save; rescue; sustain; SBJ {saver; life support} keeps OBJ from dying,,PROGRESSIVE OF live,icicalu
be turned on; be animate; be active; be open; OBJ is turned on,,swa <waka> [waka],waka
be turned off; be inanimate; be passive; be closed; OBJ is turned off,,ANTONYM OF be turned on,yana
turn on; go off; animate; activate; trigger; SBJ {activator; trigger} turns on OBJ,,INCOHATIVE OF be turned on,wakaki
turn off; deactivate; kill; SBJ {deactivator} turns off OBJ,,CESSATIVE OF be turned on,yanaki
convert; translate; transform; represent; encode; SBJ {converter; translator} conveys OBJ in the form IND {translation; symbol; representative} {METHOD:transformation},,swa <-badili> [ɓaɗili],patili
wear; be clothed; OBJ wears IND {clothing; clothes; article},,ben <পরা > [pɔra ],pola
put on; dress; robe; SBJ {dresser} puts IND on OBJ {dressee},,INCOHATIVE OF be clothed,polaki
take off; undress; disrobje; SBJ {undresser} takes IND off of OBJ {undressee},,CESSATIVE OF be clothed,polanu
move; jostle; be energetic; be restless; go; OBJ is deforming and moving relative to IND {reference; frame of reference} {AMOUNT:motion; energy},,spa <mueve> [ˈmweβe],mope
be still; be unenergetic; move with; OBJ is motionless relative to IND,,ANTONYM OF move,pemo
set off; set in motion; move; energise; SBJ {motor; mover} makes OBJ start moving relative to IND,,INCOHATIVE OF move,mopeki
stop; still; settle; deenergise; SBJ {brake} makes OBJ stop moving relative to IND,,CESSATIVE OF move,pemoki
be mobile; be movable; be loose; be portable; OBJ moves freely and easily relative to IND,,POSSIBILITY OF move,mopepowi
be stuck; stick; be bound; be immobile; be immovable; be tight; be fixed; be fast; OBJ {sticker} is bound to IND {binding; binder},,NEGATIVE OF be mobile,mopepowinyo
unstick; unbind; mobilise; loosen; extricate; unfasten; SBJ {loosener} frees OBJ to move relative to IND,,INCOHATIVE OF be mobile,mopepowiki
stick; bind; tighten; fasten; trap; SBJ {tightener} sticks OBJ to IND {INSTRUMENT:glue; bond; fastener},,CESSATIVE OF be mobile,mopepowinu
spin; rotate; revolve; OBJ {spinning} is spinning about IND {axis; centre},,spa <gira> [ˈxiɾa],hila
step; SBJ steps on OBJ {walkway},,cmn <步骤> [pu˥˩ʈ͡ʂoʊ̯˥˩],puco
fall; be falling; OBJ moves uncontrollably under gravitational forces {CAUSE:gravity},,ibo <da> [da],ta
