eng,cst,source
"e; /e/; mid front unrounded vowel",e,lat eː
"a; /a/; open central unrounded vowel",a,lat aː
"o; /o/; mid back rounded vowel; also J",o,lat oː
"i; /i/; close front unrounded vowel",i,lat iː
"u; /u/; close back rounded vowel",u,lat uː
"j; /j/; palatal approximant",jota,grc iɔːta
"l; /l/; alveolar lateral approximant",el,lat ɛl
"w; /w/; labial-velar approximant",weta,grc bɛːta
"n; /n/; alveolar nasal",ene,spa ene
"m; /m/; labial nasal",eme,spa eme
"h; /h/; glottal fricative",ha,lat haː
"c; /ʃ/; post-alveolar affricate",ce,fra seː
"s; /s/; alveolar fricative",es,lat ɛs
"f; /f/; labial fricative",ef,lat ɛf
"k; /k/; velar plosive; also U",ka,lat kaː
"t; /t/; alveolar plosive",te,lat teː
"p; /p/; bilabial plosive",pe,lat peː
"Chastisun; the language",castisun
"Andorra; the country",antola,cat andɔra
"Angola; the country",ankola,por ɐ̃ɡɔlɐ
"Antigua and Barbuda; the country",antikaanpapjuta,eng æntiːɡə ən bɑːbjuːdə
"Argentina; the country",alhenˈtina,aɾxenˈtina
"Armenia; the country",hajastan,hye hɑjɑstɑn
"Australia; the country",astwajlja,eng əˈstɹæɪ̯ljə
"Austria; the country",ewstahaic,deu øːstɐʁaɪç
"Azerbaijan; the country",asalpajcan,ɑzæɾbɑjdʒɑn
"The Bahamas; the country",pahamas,eng bəˈhɑːməz
"Bahrain; the country",albahlajn,ara albaħrajn
"Bangladesh; the country",panlatec,ben baŋlad̪eʃ
"Barbados; the country",papejtos,bjs bɑːɹˈbeɪ̯dɒs
"Belarus; the country",pjelalus,bel bʲɛlarusʲ
"Belgium; the country",pelkia,nld bɛlɣijə
"Belize; the country",palis,eng bəˈliːz
"Benin; the country",penen,fra benɛ̃
"Bhutan; the country",cukju,dzo ʈʂuk˩˧ˀjyː˥
"Bolivia; the country",polipja,spa boˈliβja
"Bosnia and Herzegovina; the country",posnaihelsegowina,hrv bosna i xertseɡoʋina
"Botswana; the country",butswana,tsn bʊtswana
"Brazil; the country",aplasiw,por bɾaˈziw
"Brunei; the country",uplunai,kxd brunai
"Bulgaria; the country",palkalia,bul bɐɫɡarijɐ
"Burkina Faso; the country",pulkinafaso,mos burkina faso
"Burundi; the country",pulantiti,run buɾantidi
"Cambodia; the country",kampukia,khm kɑmpuciə
"Cameroon; the country",kamhun,fra kamʁun
"Canada; the country",kanata,eng ˈkænədə
"Cape Verde; the country",kapufelti,por kaβu veɾðɨ
"Central African Republic; the country",sanhafhik,fra sɑ̃tʁafʁik
"Chad; the country",cat,ara tʃaːd
"Chile; the country",cile,spa ˈtʃile
"China; the country",cunkwo,cmn ʈʂʊŋ˥kwɔ˧˥
"Colombia; the country",kolompja,spa koˈlombja
"Comoros; the country",komoli,zdj komori
"Democratic Repubic of the Congo; the country",konkokencasa,fra kɔ̃ɡo kɛ̃ʃaza
"Republic of the Congo; the country",konkophasafil,fra kɔ̃ɡo bʁazavil
"Cook Islands; the country",kukajlan,eng ˈkʊk ˈaɪləndz
"Costa Rica; the country",kostalika,spa kosta rika
"Côte d'Ivoire; the country",kotifwah,fra kot divwaʁ
"Croatia; the country",helwataska,hrv xr̩ʋaːtskaː
"Cuba; the country",kupa,spa kuβa
"Cyprus; the country",kiplos,ell kipros
"Northern Cyprus; the country",kusejkuplus,tur kuzej kɯbɾɯs
"Czech Republic; the country",cesko,ces tʃɛsko
"Denmark; the country",tanmak,dan danmɑɡ
"Djibouti; the country",caputi,som dʒæbuːt
"Dominica; the country",tominika,eng dɒmɪˈniːkə
"Dominican Republic; the country",lepuplikatominikana,spa repuβlika ðominikana
"Ecuador; the country",ekwatol,spa ˈekwaðoɾ
"Egypt; the country",masal,ara masˁɾ
"England; the country",inkelan,eng ˈɪŋglənd
"Equatorial Guinea; the country",kineaekwatoljal,spa ginea ekwatoɾjal
"Eritrea; the country",eltala,tir ertra
"Estonia; the country",esti,est eːsti
"Ethiopia; the country",itjopja,amh ʔitjoppʼja
"Fiji; the country",vici,fij ˈβitʃi
"Finland; the country",suomi,fin suo̯mi
"France; the country",fahansa,fra fʁɑ̃s
"Gabon; the country",kapon,fra ɡabɔ̃
"The Gambia; the country",kampia,mnk kambija
"Georgia; the country",sakaltafelo,kat sɑkʰɑrtʰvɛlɔ
"Germany; the country",tojclan,deu ˈdɔʏtʃlant
"Ghana; the country",kana,aka gaːnæ
"Greece; the country",elasa,ell elaða
"Greenland; the country",kalaslitnunat,kal kalaːɬit nunaːt
"Grenada; the country",kwanejta,eng ɡɹəˈneɪ̯də
"Guatemala; the country",kwatemala,spa gwateˈmala
"Guinea; the country",kine,ful gine
"Guinea-Bissau; the country",kinepisaw,pov ɡinɛ bisaw
"Guyana; the country",kajana,eng ɡaɪ̯ˈɑːnə
"Haiti; the country",ajti,hat ajiti
"Honduras; the country",ontulas,spa onˈduɾas
"Hungary; the country",mokololsak,hun mɒɟɒrorsaːɡ
"Iceland; the country",istilan,isl ˈistlant
"India; the country",palat,hin bʱaːrət̪
"Indonesia; the country",indonesia,ind ɪndonesia
"Iran; the country",ilan,fas ʔiːɾɒːn
"Iraq; the country",alilak,ara alʕiraːq
"Ireland; the country",ajalant,eng ˈaɪəɹlənd
"Northern Ireland; the country",tuackjaltaeljan,gle ˈt̪ˠuəʃcəɾˠt̪ˠ ˈeːɾʲən̪ˠ
"Israel; the country",jishael,heb jisʁael
"Italy; the country",italja,ita itaːlja
"Ivory Coast; the country",kotifwah,fra kot divwaʁ
"Jamaica; the country",cumieka,jam dʒʊmiɛka
"Japan; the country",nihon,jpn nihoɴ
"Jordan; the country",alultun,ara alʔurdunn
"Kazakhstan; the country",kasakastan,kaz qɑzɑqstɑn
"Kenya; the country",kenja,swa kɛɲɑ
"Kiribati; the country",kilipas,gil kiɾipas
"North Korea; the country",pukcosan,kor puktɕosʰʌn
"South Korea; the country",namhan,kor namɦan
"Kosovo; the country",kosofa,sqi kɔsɔva
"Kuwait; the country",alkuajt,ara alkuwajt
"Kyrgyzstan; the country",kulhustan,kir qɯrʁɯsstɑn
"Laos; the country",law,lao laːw˦˥
"Latvia; the country",latfia,lav latvia
"Lebanon; the country",lupnan,ara lubnaːn
"Lesotho; the country",lisutu,sot lɪsʊtʰʊ
"Liberia; the country",lajbiwia,eng laɪ̯ˈbɪɹiə
"Libya; the country",lipia,ara liːbija
"Liechtenstein; the country",lictenactajn,deu lɪçtn̩ʃtaɪ̯n
"Lithuania; the country",ljietufa,lit lʲɪɛtʊˈvɐ
"Luxembourg; the country",latsapuac,ltz lətsəbuːəɕ
"The Former Yugoslav Republic of Macedonia; the country",maketonia,mkd makɛdɔnija
"Madagascar; the country",matakaskjal,mlf madaɡaskʲarə̥
"Malawi; the country",malawi,nya malaβi
"Malaysia; the country",malejsia,msa məlejsiə
"Maldives; the country",tiwehilace,div diʋehirəːdʒe
"Mali; the country",mali,bam mali
"Malta; the country",malta,mlt mɐltɐ
"Marshall Islands; the country",masjel,mah mˠɑzʲɛ͡ʌɫ
"Mauritania; the country",mulitania,ara muːriːtaːnijaː
"Mauritius; the country",mohis,mfe moʁis
"Mexico; the country",mehiko,spa ˈmexiko
"Micronesia; the country",majkwonica,eng maɪ̯kɹoʊ̯ˈniːʒə
"Moldova; the country",moltofa,ron moldova
"Monaco; the country",monako,fra mɔnako
"Mongolia; the country",monkoslo uslus,mon mɔŋɢɔɮ ʊɮs
"Montenegro; the country",selnakola,cnr tsr̩ːnaː ɡɔra
"Morocco; the country",almahlip,ara almaʁrib
"Mozambique; the country",musanpiki,por musɐ̃bikɨ
"Myanmar; Burma; the country",mjama,mya mjəma˩
"Namibia; the country",namipia,ndo namibia
"Nauru; the country",naulu,nau nɑːuːruː
"Nepal; the country",nepal,nep nepal
"Netherlands; the country",netalant,nld neːdərlɑnt
"New Zealand; the country",njusilan,eng njʉː ˈziːlɘnd
"Nicaragua; the country",nikalakwa,spa nikaˈɾaɣwa
"Niger; the country",nical,hau niːʒaɽ
"Nigeria; the country",najcilia,eng naɪ̯ˈdʒɪɹ̩iə
"Niue; the country",niwe,niu niweː
"Norway; the country",nolka,nor noɾɡə
"Oman; the country",human,ara ʕʊmaːn
"South Ossetia; the country",alonson,oss ˈalonston
"Pakistan; the country",pakistan,pan pɑːkɪst̪ɑːn
"Palau; the country",palaw,eng pəˈlaʊ̯
"Palestine; the country",filastin,ara filastˁiːn
"Panama; the country",panama,spa panaˈma
"Papua New Guinea; the country",papuanjukini,tpi papua njugini
"Paraguay; the country",palakwaj,paɾaˈɣwaj
"Peru; the country",pelu,spa peˈɾu
"Philippines; the country",pilipinas,tgl pɪlɪpinɐs
"Poland; the country",poloska,pol pɔlska
"Portugal; the country",pultukal,por puɾtuɣaɫ
"Qatar; the country",katal,ara qɑtˤɑr
"Romania; the country",lominia,ron romɨnia
"Russia; the country",lasjia,rus rɐsʲijə
"Rwanda; the country",ulkwanta,kin uɾɡwanda
"Sahrawi Arab Democratic Republic; the country",
"Saint Kitts and Nevis; the country",senkitsanifis,aig sɛnt kits ɑːn nivis
"Saint Lucia; the country",senlisi,acf sɛnt lisi
"Saint Vincent and the Grenadines; the country",sejnfinsan,eng seɪ̯nt ˈvɪnsənt
"El Salvador; the country",elsalpatol,spa el salβaˈðor
"Samoa; the country",samoa,smo saːmoa
"San Marino; the country",sanmalino,ita san mariːno
"São Tomé and Príncipe; the country",sawntumeiplinsipi,por sɐ̃w tuˈmɛ i ˈpɾĩsɨpɨ
"Saudi Arabia; the country",asutia,ara assuʕuːdijja
"Scotland; the country",alapa,gla ˈal̪ˠapə
"Senegal; the country",senekal,wol sɛnɛgaːl
"Serbia; the country",salpia,hrv sr̩bija
"Seychelles; the country",sesel,crs sesɛl
"Sierra Leone; the country",salon,kri salon
"Singapore; the country",sinapo,eng sɪŋəpɔː
"Slovakia; the country",solowenesko,slk sloʋensko
"Slovenia; the country",solowenia,slv slɔʋeːnija
"Solomon Islands; the country",solomon,pis solomon
"Somalia; the country",somalia,som sɔːmɑːlijɑ
"Spain; the country",espanja,spa espaɲa
"Sri Lanka; the country",islilankawa,sin sriː laŋkaːʋa
"Sudan; the country",asutan,ara assuːdaːn
"South Sudan; the country",paguotutan,din paguot t̪uda̤n
"Suriname; the country",sulinama,nld ˌsyːriˈnaːmə
"Swaziland; the country",eswatini,ssw ɛswatʼini
"Sweden; the country",swalia,swe svæːrijə
"Switzerland; the country",cwajs,deu ʃvaɪ̯ts
"Syria; the country",sulia,ara suːrijaː
"Taiwan; the country",tajwan,cmn tʰaɪ̯˧˥wan˥
"Tajikistan; the country",tocikiston,tgk tɔːdʒikistɔːn
"Tanzania; the country",tansania,swa tɑnzɑniɑ
"Thailand; the country",taj,tha tʰaj˧
"East Timor; the country",timololosae,tet timor lorosaʔe
"Togo; the country",toko,fra togo
"Tonga; the country",tona,ton toŋa
"Trinidad and Tobago; the country",twinitatantapejkow,eng ˈtɹɪnɪdæd ən təˈbeɪ̯ɡəʊ̯
"Tunisia; the country",tunis,ara tuːnis
"Turkey; the country",tulkie,tur tyɾcije
"Turkmenistan; the country",tulkemenistan,tuk tyɾkmeniθtɑn
"Tuvalu; the country",tufalu,tvl tuːvalu
"Uganda; the country",jukanta,lug jugaːnda
"Ukraine; the country",uklajina,ukr ukrɑjinɑ
"United Arab Emirates; the country",alimalat,ara alʔimaːraːt
"United Kingdom; the country",sajukej,en ðʌ juː kʰeɪ̯
"United States; the country",sajuesej,en ðʌ juː ɛs eɪ̯
"Uruguay; the country",ulukwaj,spa uɾuˈɣaj
"Uzbekistan; the country",ospekistan,uzb ɒ:zbekist̪ɒn
"Vanuatu; the country",fanuatu,bis vɑnuɑtu
"Vatican City; the country",citatelfatikano,ita tʃitta del vatikaːno
"Venezuela; the country",peneswela,spa beneˈzwela
"Vietnam; the country",fiatnam,vie viɜʔt˧˨ʔnaːm˧
"Wales; the country",kamli,cym ˈkəmri
"Yemen; the country",aljaman,ara aljaman
"Zambia; the country",sampia,eng ˈzæmbiə
"Zimbabwe; the country",simpapwe,sna zimbabwe
"Babylon; the city",
"Beijing; the city",
"Białystok; the city",pjawistok,pol bʲaˈwɨstɔk
"Brussels; the city",
"Buenos Aires; the city",pwenosajles,spa ˈbwenos ˈajɾes
"Cairo; the city",
"Chengdu; the city",
"Chongquing; the city",
"Delhi; the city",
"Dhaka; the city",
"Guangzhou; the city",
"Honolulu; the city",honolulu,haw honoˈlulu
"Istanbul; the city",
"Jerusalem; the city",
"Karachi; the city",
"Kinshasa; the city",
"Lagos; the city",
"Lahore; the city",
"London; the city",
"Moscow; the city",
"Mumbai; the city",
"New York City; the city",
"Paris; the city",
"Rome; the city",
"São Paulo; the city",
"Shanghai; the city",
"Tianjin; the city",
"Tokyo; the city",
"Washington D. C.; the city",
"Bahá'í; the religion",
"Buddhism; the religion",
"Cao Dai; the religion",
"Christianity; the religion",
"Han Folk Religion; the religion",
"Hinduism; the religion",
"Islam; the religion",
"Jainism; the religion",
"Judaism; the religion",
"Shinto; the religion",
"Sikhism; the religion",
"Spiritualism; the religion",
"Zoroastrianism; the religion",
"Christmas; the holiday",natiwitas,lat naːˈtiːwɪtaːs
"fox; the canine",wulpes,lat ˈwʊɫ.peːs
"coconut; the fruit",tenkaj,tam ˈt̪eːŋgɑːj
"pomegranate; the fruit",tatima,san ˈd̪aːɖimə
"calzone; the dish",kalsone,ita kalˈtsoːne
"galaxy",kalasias,gre ɡalaksíaːs
"radian; the unit of angles",watian,eng ˈɹeɪdiɪn
"meter; the unit of length",methe,fra ˈmɛtʁ
"liter; the unit of volume",lithe,fra ˈlitʁ
"kilogram; the unit of mass",kiloham,fra ˈkilɔɡʁam
"ke; the unit of time",kao,cmn kʰɤ˨˩
"span; the unit of time",espan,eng spæn
"snap; the unit of time",esnapa,eng snæp
"hour; the unit of time",
"minute; the unit of time",
"second; the unit of time",sekonte,nld sɛˈkɔndɛ
"Congress",kankwes,eng ˈkʰɑŋɡɹɨs
"Christian heaven",comajim,heb ʃɔmäˈjim
"amen",omejn,heb ɔˈmeɪ̯n
