Djastiz,jàpī
remipedia (like ocean centipede things),lójul
maxillopod (barnacles and copepods),māmō
ostracoda (seed shrimp),múpom
leptostrac,repàm
mantisshrimp,ēulem
crab (also includes lobsters),mālal
shrimp (pretty loose descriptor of most eumalacostraca),mémú
"apterygota (silverfish, firebrat, and jumping bristletails)",lújē
mayfly,múpel
odonatoptera (dragonflies and damselflies),jūmù
"paraneoptera (bugs, thrips, and lice)",mupām
"megaloptera (alderflies, dobsonflies, and fishflies)",rēél
snakefly,újèl
"neuroptera (lacewings, antlions, owlflies, and more)",lūrū
beetle,aēēl
strepsiptera (twisted-wing parasites),pūrè
mosquito,pèèm
housefly,jèrú
fly (in the taxonomical sense excluding mosquitos and houseflies),mepám
mecoptera (flying scorpions!),mūrom
flea,òjàm
caddisfly,jēlō
lepidoptera (moths and butterflies),jēlē
wasp,péōl
ant,jēpá
bee,ārōl
sawfly,porùm
stonefly,ūpūl
embiidina (web-spinning insects),jejūm
phasmid (stick and leaf insects),lājom
"orthoptera (crickets, tatydids, grasshoppers, etc.)",ūlūm
gladiator (it's a type of insect),pūpē
zorapteran (a type of insect bug thing),pòàm
cockoroach,máré
termite,mámá
mantid,lōpul
earwig,lamél
"grylloblattodea (ice bus, ice crawlers, and rock crawers)",pūóm
entognatha (six-legged bugs that are not insects),ōlūl
velvetworm,jēmum
plankton (anything microscopic that belongs to nephrozoa),mèlom
brachiopod,òmúm
phoronid,muróm
aplacophora (shell-less molusks),pàràl
chiton,lòlùl
monoplacophora (a type of molosk),mērùl
snail,pùrúl
slug,jórūm
nautiloid,lólàl
decapodiforme (includes squid and cuttlefish),rūpúm
vampiresquid,lújàm
octopus,rùjòm
bivalve (molusks with two valves),rúlál
scaphopod (a type of molusk),màpām
beardworm (giant tube worms),jūjém
leech,rālēm
segmented-worm (any member of annelida besides leeches and beardworms),jèjēl
nemertea (ribbon worms or probiscis worms),lélèm
proctum (encompasses entoprocta and ectoprocta),lójèm
gorgonian (sea fans and sea whips),lèràm
seapens,rùpól
soft-coral,māmèm
blue-coral,mújūm
black-coral,làról
stony-coral,màjāl
corallimorpharia,pálòl
zoantharia,mémūl
anemone,jōjùm
tube-dwelling-anemone,pèlál
jellyfish,jàmél
box-jellyfish,raēlem
stalked-jellyfish,pāmūm
hydra,pēróm
polypodizoa (jellyfish-like parasites),mèmūl
parasite,jūlél
sponge,pòpeá
trichoplax (real small and thin sponge-like animals),rulōol
animal,júrúl
plant,pórél
fungus,lòròm
mushroom (or toadstool),pamóà
puffball (fungus),pápùm
stinkhorn,pājōl
bracket-fungus,rólál
jelly-fungus,rójèm
bolete,jùpóm
smut (fungus),lùpoal
bunt (fungus),jùpōm
rust (fungus),rámúl
chanterelle (a type of fungus),pèúù
earth-star (fungus),èrapel
bacterium,jèrèm
virus,rērúl
alga,múpōl
"moss (any embryophyte without xyla, like liverworts and hornworts, plus clubmoss and spikemoss and firemoss)",lópòm
quillwort,pūlēl
fern,mulūē
tree,jùmām
zamiaceae (cycads that are superficially palm or fern-like),jōrōl
cycas (some ancient tree-palm-fern things),ràjēl
ginkgo biloba (a unique Japanese tree),lèjól
ephedra (a type of shrub),pùrēm
umbrella-pine (not technically a pine),lárōl
araucarian (a type of very tall evergreen),ùrūla
"cupressacea (junipers, redwoods, and some other types of conifers)",rémól
"pine-tree (includes cedars, firs, hemlocks, larches, and spruces)",jámóm
podocarpaceae (a family of southern-hemisphere conifers),rōjùm
yew,màpál
pontederiacea (a family of aquatic wetland plants),mópém
commelinacea (plants with fleshy succulent leaves),ojàrol
"haemodoraceae (plants that grow in dry places with distichous, equitable, isobifacial leaves)",jūmēl
hanguanacea (terrestrial herbaceous Austrolasian plants),rójōm
philydracea (herbaceous monocotyledonous plants),múrāl
alismatid-monocots (acorales and alismatales),jàmál
petrosaviaceae (flowering plants of Petrosaviales),mējòm
discoreales (monocotyledonous flowering plants),pàlāl
yam-plant,márúl
pandan (a type of plant),pàrūl
liliale (a type of flowering plants that includes lilies),jóróm
asparagoid-lily (minus orchids),jápàm
orchid,pérém
palm-tree,lāmām
cattail-plant (typhaceae),málūl
grass (poaceae),márúm
"cool-season-grass (includes wheat, barley, oat, rye, and some lawn grasses)",rùmól
"warm-season-grass (includes sugarcane, maize, sorghum, and switchgrass)",májèl
bamboo,pépél
"poale (grass-likes such as sedges, excluding grasses, typhaceae, and bromeliads)",púlūl
"zingiberale (a type of fowering plant that includes bananas, ginger, and birds of paradise)",lòjùl
"magnoliid (a type of flowering plant that includes magnolias, nutmeg, cinnamon, avocado, black pepper, and tulips)",rolumè
chloranthale (a family of unique tropical flowering shrubs),jòmál
austrobaileyale (a type of woody plant that produces anise and essential oils),lépèm
"nymphaelaeale (a type of aquatic flowering plant, like lillies)",pèlòl
amborella (a specific understory shrub on Grande Terre),répèl
eudicot (a generic plant clade),mōjàl
Antarctica,lālúl
Oceania,rómōl
Africa,làpèl
Eurasia,jāpēm
North-America,rejùre
South-America,mámāl
The-Arctic,jélàm
Europe,lājuē
Middle-East,mèmém
North-Africa,jélòl
Sub-Saharan-Africa,mùmól
South-Asia,rōlùl
Eastern-Asia,lālúm
Central-Asia,rūlám
US-Canada,mālūm
Central-America,pāmēl
ladder,púrāl
robot (anything with automated actuation),mòjōm
automobile (machine),jùjàm
